title,url,collection,description,servings,total_time_min,ingredients,method,tags,ratingValue,ratingCount
Sausage rolls,https://www.bbc.co.uk/food/recipes/bigsausagerolls_86258,https://www.bbc.co.uk/food/collections/1_best_sausage_recipes,Sausage rolls get a kick from Tabasco and Worcestershire sauce. Whip them up for a party and watch them disappear in a flash.,Makes 16-20,60,"30g/1oz butter || 100g/3½oz button mushrooms, finely chopped || 1 tbsp Worcestershire sauce || 1 tbsp Tabasco sauce || 1 tbsp dried thyme || 450g/1lb sausage meat (you can easily push the meat out from the skins of readymade sausages) || salt and freshly ground black pepper || 450g/1lb ready-rolled puff pastry || 1 free-range egg, beaten","Preheat the oven to 200C/400F/Gas 6. || Melt the butter in a large frying pan and fry the mushrooms until soft. Transfer to a large bowl. || Add the Worcestershire sauce, Tabasco sauce, thyme and sausage meat and season well with salt and freshly ground black pepper. Mix until thoroughly combined. || Roll the puff pastry out into a large rectangle, then cut into two long rectangles. || Place a layer of sausage meat mixture down the middle of each pastry rectangle, then brush with beaten egg on one of the long edge. || Fold the other side of the pastry over onto the egg-washed edge. Press down to seal and trim any excess. Cut each pastry roll into 8-10 small sausage rolls. || Place the sausage rolls onto a baking tray and bake for 15-20 minutes, or until the pastry is crisp and golden and the sausage meat is completely cooked through.",quick | absolute bangers | buffet | celebrate pride | easy british | kid's party | retro british | birthday party | boxing day | christmas | new year and hogmanay | party food | picnic | sausage roll | sausage | nut free | pregnancy friendly | Something for the Weekend | Starters & nibbles | British,4.84375,32
Spicy sausage pasta,https://www.bbc.co.uk/food/recipes/billsspicysausageand_73069,https://www.bbc.co.uk/food/collections/1_best_sausage_recipes,Simple suppers don't get much better than this easy sausage pasta with sweet peppers and tasty Italian sausages.,Serves 2,60,"4 Italian sausages || 2 tbsp olive oil || 1 red onion, cut into wedges || 2 garlic cloves, crushed || 400g tin chopped tomatoes || 1 red pepper, cut into strips || ½ tsp chilli flakes || 2 tsp dried oregano || 2 tbsp chopped fresh parsley (optional) || 200g/7oz whole wheat pasta of your choice","Put a medium non-stick pan over a high heat and brown the sausages in 1 tablespoon of olive oil. Set the browned sausages to one side. || Reduce the heat to a medium flame and gently fry the onions and garlic in the remaining oil for 2 minutes. Add the tomatoes, red pepper, chilli, oregano and sausages to the pan. Cover the pan with a lid and simmer until the red peppers soften (about 10 minutes). || Cook the pasta until al dente (with a bite) according to the packet instructions. || Drain the pasta well and put into two bowls with the sauce. Serve with a scatter of chopped parsley over the top.",quick | absolute bangers | 30 minute dinners | cheap sausage | cheap 30-minute meals for two | cheap italian-inspired family favourites | chorizo pasta | easy pasta | easy pork | easy sausage suppers | filling pasta | quick pasta | quick sausage | sausage pasta | sausage suppers | spicy | spicy pasta | student pasta | summery sausages | weeknight dinner | wholemeal rice | pasta and flour | winter warmers | autumn | summer dinner | pasta | sausage | pepper | Whole wheat pasta | dairy free | egg free | nut free | pregnancy friendly | summer | Saturday Kitchen | Main course | Italian | http://schema.org/LowLactoseDiet,4.620689655172414,29
Sausage ragù with tagliatelle,https://www.bbc.co.uk/food/recipes/bolognese_sausage_rag_01151,https://www.bbc.co.uk/food/collections/1_best_sausage_recipes,"Using sausage meat reduces the cooking time for this traditional dish, but the white wine and cream make sure nothing is lacking in flavour. You don’t need a pasta machine to make your own tagliatelle – if you don’t have one, give it a go with a rolling pin.",Serves 4,120,"400g/14oz 00 pasta flour || 4 free-range eggs, lightly beaten || 2 tsp salt || 400g/14oz good quality coarse pork sausage meat || 1 tbsp olive oil || 1 small onion, finely chopped || 2 sticks celery, chopped || ¾ tsp fennel seeds, roughly ground in a pestle and mortar || 1 sprig of fresh rosemary, leaves finely chopped || ¼ tsp chilli flakes || 1 large garlic clove, grated || 150ml/5fl oz dry white wine || 150ml/5fl oz double cream || 150ml/5fl oz chicken stock || 50g/1¾oz Parmesan cheese, freshly grated || salt and freshly ground black pepper","To make the pasta, in a food processor, combine the flour, eggs and salt, then tip onto a work surface and bring together in a ball of dough, cover in cling film and rest for 20-30 minutes. || Ideally with a pasta machine or a rolling pin, roll out the pasta into a couple of thin sheets (about 2mm thick). Run through a pasta machine to make tagliatelle, or using a knife or pizza cutter, cut into 5mm wide ribbons. Separate the strands and leave to dry on the back of a chair or spread out on a tray. || Break up the sausage meat into a large lidded pan with a little olive oil, depending on how fatty the sausage meat is, as it may render quite a bit of fat.  Cook on a medium heat for around 10 minutes stirring from time to time. Add the onion, celery, fennel seeds, rosemary, chilli and garlic then cook for a further 15 minutes.  Pour in the wine and cook until reduced in volume by half, then add the cream and chicken stock. Season with salt and pepper then put a lid on the pan and simmer gently for half an hour. || When ready to serve, cook the tagliatelle in plenty of salted water for about 4 minutes until al dente, drain and add to the ragù pan and mix in. Serve in warmed bowls with freshly grated Parmesan.",absolute bangers | christmas eve | easy sausage suppers | fresh pasta | luxury weeknight meals | pasta sauce | quick sausage | sausage pasta | slow but sure to impress | pasta party dinners | summery sausages | the best sausage | ragù | sausage | nut free | Rick Stein's Long Weekends | Main course | Italian,4.827586206896552,116
5-ingredient sausage pasta,https://www.bbc.co.uk/food/recipes/cheats_spicy_sausage_41113,https://www.bbc.co.uk/food/collections/1_best_sausage_recipes,"Add a few extras to a ready-made tomato sauce for a wonderfully quick and substantial pasta dish!

Each serving provides 658 kcal, 26g protein, 72g carbohydrate (of which 9g sugars),28g fat (of which 9g saturates), 6g fibre and 1.8g salt.",Serves 4,60,"1 tbsp olive oil || 1 red pepper, seeds removed, finely chopped || 400g/14oz good-quality sausages, skins removed || 350g/12¼oz tomato and chilli pasta sauce || 350g/12¼oz penne || salt and freshly ground black pepper || freshly grated Parmesan, to serve || 1 tbsp chopped fresh basil, to serve (optional)","Heat the oil in a large frying pan and add the pepper. Cook over a medium heat, until soft. || Add the sausages to the pan, breaking up the meat with a wooden spoon. Once the meat is browned, add the tomato sauce and cook for 10 minutes. || Meanwhile, cook the pasta in a pan of boiling salted water according to the packet instructions. || Drain the pasta and stir in the sauce. Spoon into four bowls and garnish with grated Parmesan and chopped basil, if using.",quick | absolute bangers | 20 minute meals | 30 minute dinners | 5 ingredient meals | 5 ingredient pasta dinners | back to school | cheap sausage | budget cuts | cheap and easy 20 minute meals | cheap pasta | comfort food on a budget | easy pasta | super-easy meals to cook for your friends | easy sausage suppers | midweek meal ideas | quick and comforting | quick kid-friendly dinners | quick pasta | sausage suppers | speedy family dinner | summery sausages | take 5 ingredients | autumn | easy family dinners | student food | winter | pasta sauce | sausage | pasta | egg free | nut free | pregnancy friendly | Main course | Italian,4.45,60
Chipchip 'cassoulet',https://www.bbc.co.uk/food/recipes/chipchip_cassoulet_67875,https://www.bbc.co.uk/food/collections/1_best_sausage_recipes,"Chipolata sausages are often overlooked in favour of big juicy sausages, but they are perfect for this smoky, spicy take on a cassoulet as they don’t release too much fat and cook quickly. This is a great dish for feeding hungry people after a long winter walk.",Serves 6,90,"2 tbsp olive or sunflower oil || 12 chipolata sausages || 2 onions, thinly sliced || 2 garlic cloves, crushed || 1 red pepper, deseeded and cut into 3cm/1¼in pieces || 1 tsp chipotle paste || 2 tsp sweet smoked paprika || 1 tbsp tomato purée || 100ml/3½fl oz white wine || 200ml/⅓ pint chicken stock || 1 x 400g tin baked beans || 275g/10oz cherry tomatoes","Heat 1 tablespoon of the oil in a deep frying pan or flameproof casserole over a high heat. Add the sausages and fry until they are evenly browned. Transfer to a plate. || Add the remaining oil to the pan, if needed. Stir in the onions, garlic and pepper and fry for a few minutes. Stir in the chipotle paste, paprika and tomato purée. || Pour in the wine and stock and add the baked beans. Return the sausages to the pan, cover with a lid and bring to a boil. Reduce the heat and simmer gently for about 25 minutes. || Add the tomatoes and return to the heat to simmer for a few minutes, until the tomatoes are soft but still hold their shape. Serve hot with mash or baked potatoes.",absolute bangers | best chipotle | easy sausage suppers | family comfort food | mary’s twists on the classics | sausage suppers | simple sausage suppers | easy family dinners | winter | sausage casserole | sausage | dairy free | egg free | pregnancy friendly | Mary Berry - Cook and Share | Main course | http://schema.org/LowLactoseDiet,4.666666666666667,24
"Beef, black-eyed bean and plantain hotpot",https://www.bbc.co.uk/food/recipes/beef_black-eyed-bean_and_85011,https://www.bbc.co.uk/food/collections/african_inspired_food,"A West African take on a classic hotpot, combine fiery Scotch bonnet with comforting beans and sweet plantain. This dish makes a little beef go further.",Serves 6–8,180,"350g/12oz dried black-eyed beans || 900g/2lb sirloin steak, cut into 1cm/½ in cubes || 325ml/11½fl oz vegetable oil || 1 large onion, chopped || 4 garlic cloves, finely chopped || 4cm/2in piece fresh root ginger, grated || 1 tsp dried chilli flakes || 2 x 400g tins chopped tomatoes || 2 tbsp tomato purée || 2 beef stock cubes || 2 sprigs fresh thyme || 1 Scotch bonnet chilli, chopped || 3 ripe plantain, peeled and sliced || salt and freshly ground black pepper","Cook the dried beans in a large pan of boiling water for about 20 minutes until softened. Drain and set aside. || Heat 2 tablespoons of the oil in a large casserole dish and brown the beef on all sides over a medium heat. Remove and set aside. || Heat 100ml/3½fl oz oil in the same pan and fry the onions for 2–3 minutes, until slightly softened. || Add the garlic, ginger and dried chilli flakes and stir. Add the tinned tomatoes, tomato purée, stock cubes, thyme and Scotch bonnet chillies and season with salt and pepper. Cook the tomatoes for 10 minutes before adding the beef and beans and cooking on low for 45–60 minutes, stirring occasionally. || While the stew cooks, heat the remaining oil in a deep frying pan and shallow fry the plantain slices in batches for 2–3 on each side until golden-brown. Transfer to a plate lined with kitchen paper to drain. Top the stew with the plantains before serving.",african inspired food | autumn | winter | hotpot | black eyed beans | sirloin | dairy free | egg free | nut free | pregnancy friendly | Main course | African | http://schema.org/LowLactoseDiet,4,9
Bunny chow,https://www.bbc.co.uk/food/recipes/bunny_chow_38916,https://www.bbc.co.uk/food/collections/african_inspired_food,"People from Durban are very proud of their Bunny Chow and its heritage - a cheap curry from the depression era. 
The version here is made with meat, but you can substitute with red and white kidney beans.",Serves 4,150,"2 tbsp vegetable oil || ½ tsp cumin seeds || ½ tsp fennel seeds || 2.5cm/1in piece of cinnamon stick || 2 green cardamom pods || 1 star anise || 1 bay leaf || 1 onion, finely chopped || 2 tbsp South African curry powder || 2 tomatoes, chopped || 1kg/2lb 2oz boneless leg of lamb, cut into 1.5cm/½in dices || 1 tbsp finely chopped fresh ginger || 1 tbsp finely chopped garlic || 10-12 curry leaves || 2 large potatoes, cut in cubes the same size as the meat || salt || 2 tbsp finely chopped coriander leaves || 2 tbsp lime juice || 2 loaves of crusty white bread, unsliced, each cut across in half in the middle and most of the crumbs removed || coriander cress or sprigs, to garnish","Heat the oil in a pan and sauté the whole spices and bay leaf until the spices sizzle. || Add the onion and cook for 5–7 minutes until translucent. || Stir in the curry powder and sauté for one minute, then add the tomatoes and stir to mix. || Cook on medium heat, stirring often, until you get a sauce-like consistency. || Add the meat, ginger, garlic and curry leaves and 300ml/11fl oz water, bring to the boil then reduce the heat and simmer, stirring occasionally, for 40-50 minutes or until the meat is tender. || Add the potatoes, salt to taste and 200ml/7fl oz water. Continue simmering until the meat and potatoes are perfectly cooked (about 15 minutes). || Stir in the chopped coriander and lime juice. || To serve, spoon into the hollows in the bread and garnish with coriander cress.",african inspired food | street food | curry | curry powder | leg of lamb | curry leaves | dairy free | egg free | nut free | pregnancy friendly | 2007-16 | Main course | African | http://schema.org/LowLactoseDiet,4.857142857142857,7
Cape Malay-style braised chicken curry,https://www.bbc.co.uk/food/recipes/cape_malay-style_braised_02015,https://www.bbc.co.uk/food/collections/african_inspired_food,A curry from South Africa that combines sweet and savoury flavours. Perfect for a cosy evening.,Serves 4,150,"1 whole chicken on the bone, skin on, separated into 6–8 pieces || 1 onion, chopped || 2 carrots, peeled and chopped || 3 celery sticks, chopped || 1 head garlic, cut in half || 2 tbsp coriander seeds || 1 tbsp cumin seeds || 1 cinnamon stick || 3 cardamom pods, crushed || 4 whole cloves || 1–2 tsp sea salt || 1 tbsp black peppercorns || 2 tbsp white wine vinegar || 2 tbsp soft light brown sugar || 100g/3½oz apricot jam || 2 tbsp vegetable oil || 1 onion, diced || 4 garlic cloves, chopped || 1 tsp chopped fresh root ginger || 1 green pepper, seeds removed and diced || 2 beef tomatoes, chopped || 1 Maris Piper potato, peeled and diced || 1 sweet potato, peeled and diced || 1 tsp ground coriander || 1 tsp ground cumin || 2 tbsp curry powder || 1 tsp ground turmeric || 2 tsp ground fennel seeds || 1 green chilli, spilt || 150g/5½oz baby spinach || salt and freshly ground black pepper || 2 tbsp chopped fresh coriander || freshly steamed basmati rice","To make the chicken, place all of the ingredients in a large casserole and just cover with water. Bring to the boil, then reduce to a very gentle simmer for 2 hours. Remove the chicken from the pan and retain 400ml/14fl oz of the cooking liquor. Discard the rest, keeping the chicken. || To make the vinegar mixture, mix all of the ingredients together in a bowl. Set aside. || To make the curry, heat the oil in a large saucepan, over a medium heat and fry the onion, garlic, ginger, green pepper and tomato for 10 minutes or until softened. || Add the potato and sweet potato, spices, green chilli and 200ml/7fl oz of the chicken cooking stock. Simmer for 20 minutes until the vegetables are tender. Stir in the vinegar mixture. Add the cooked chicken and another 200ml/7fl oz of the stock. Taste and season with salt and pepper. || Carefully stir in the spinach and serve the curry in bowls with the coriander and basmati rice.",african inspired food | chicken curry | chicken | dairy free | egg free | nut free | pregnancy friendly | Saturday Kitchen | Main course | African | http://schema.org/LowLactoseDiet,4.5,4
Chicken yassa,https://www.bbc.co.uk/food/recipes/chicken_yassa_20973,https://www.bbc.co.uk/food/collections/african_inspired_food,"Inspired by their trip to Bristol, the Hairy Bikers make a warming Senegalese-style chicken yassa  made with an abundance of onions marinated in Dijon mustard, lemon juice, ginger and chilli.",Serves 6–8,90,"1 onion, grated || 4 garlic cloves, crushed || 15g/½oz ginger, peeled and grated || 2 tbsp Dijon mustard || 2 tbsp red wine vinegar || 1 lemon, juice only || 1 Scotch bonnet chilli, finely chopped || salt and freshly ground pepper || 8 chicken thighs, skin-on and bone-in || 2 tbsp vegetable oil || 4 onions, sliced || 3 bay leaves || 250ml/9fl oz chicken stock || 100g/3½oz green pitted olives","First mix all the marinade ingredients together and season with plenty of salt and pepper. Pour over the chicken thighs. Coat thoroughly, then cover and leave to marinate in the fridge for several hours, preferably overnight. || Take the chicken out of the fridge an hour before cooking to allow them to reach room temperature. Remove the thighs from the marinade and pat it dry. Retaining the marinade for later. || Heat the oil over medium heat in a large, wide-based casserole or lidded sauté pan. When hot, add the chicken, skin-side down, and cook until well browned. Turn and cook the underside for a few more minutes. Remove the chicken from the pan. || Add the onion and bay leaves and sauté on a low to medium heat until golden brown – it is important to get these quite caramelised. Add the reserved marinade to the pan and cook, stirring regularly for a few minutes until the base of the pan is completely deglazed. || Add the stock and return the chicken pieces to the pan, skin-side up. Put the lid on and bring to the boil, and cook for 10 minutes. Remove the lid, turn down the heat and simmer until the chicken is completely cooked through and the sauce has reduced. || Add the olives and heat for 1–2 minutes. Taste to check the seasoning and add more salt and pepper as necessary. || Serve hot alongside rice or couscous.",african inspired food | chicken dinner party | healthy one-pot meals | spring recipes | summer dinner | chicken stew | chicken thigh | dairy free | egg free | nut free | pregnancy friendly | The Hairy Bikers Go West | Main course | African | http://schema.org/LowLactoseDiet,4.923076923076923,13
Jollof rice with chicken,https://www.bbc.co.uk/food/recipes/jollof_rice_with_chicken_74636,https://www.bbc.co.uk/food/collections/african_inspired_food,"This version of jollof rice adds chicken for a filling dinner that cooks all in one pan. Perfect for the family.

Each serving provides 549 kcal, 44g protein, 74.5g carbohydrates (of which 14g sugars), 7.5g fat (of which 1.5g saturates), 4g fibre and 1.2g salt.",Serves 4,60,"300g/10½oz basmati rice || 1 tbsp vegetable oil || 8 boneless, skinless chicken thighs, cut in half || 1 onion, roughly chopped || 3 garlic cloves, grated || 5cm/2 in piece fresh root ginger, peeled and finely grated || 1 red chilli, deseeded and finely chopped || 1 tsp smoked paprika || 2 tbsp tomato purèe || 700ml/1¼ pint tomato passata || 300ml/10fl oz chicken stock, from a cube || 2 red peppers, deseeded and roughly chopped || 2 tbsp roughly chopped fresh coriander || freshly ground black pepper","Tip the basmati rice into a large bowl and cover with cold water. Set aside. || Heat the oil in a large lidded sautè pan, add the chicken thighs and fry on each side for 1–2 minutes, or until just golden brown. Push the chicken to one side, add the onion and cook for 3–4 minutes, or until just softened but not coloured. || Stir the chicken back into the onions, then add the garlic, ginger, chilli and smoked paprika and cook for 1 minute. Add the tomato purèe and mix well. || Drain the rice and stir it into the chicken mixture. Add the tomato passata and half the stock. Stir well and bring to a simmer. Cover with a lid and cook gently over a medium-low heat for 15 minutes, or until the liquid has nearly been absorbed. || Stir the rice well, then add the remaining stock and stir once more. Scatter the peppers over the top of the rice, return the lid to the pan and cook for another 5 minutes, or until all the liquid has been absorbed and the rice and peppers are tender. (If the rice is not quite done, cook for a further 5 minutes.) Season with pepper, stir through in the coriander and serve.",quick | african inspired food | perfectly portioned dinners | cheap rice | easy rice | one-pot rice | spicy chicken | spring chicken recipes | surprisingly cheap dishes | easy family dinners | basmati rice | chicken thigh | dairy free | egg free | nut free | pregnancy friendly | Eat Well for Less? | Main course | African | http://schema.org/LowLactoseDiet,2.9761904761904763,42
